3OH!3 ft. Kesha	My First Kiss
5 Seconds Of Summer	Girls Talk Boys
5 Seconds of Summer	Good Girls
5 Seconds of Summer	She Looks so Perfect
Aer	Says She Loves Me
Afrojack ft. Mike Taylor	SummerThing!
Aggro Santos ft. Andreea Banica	Red Lips
Alessia Cara	Here
Alicia Keys feat. Nicki Minaj	Girl On Fire
Alyxx Dione f./Jason Derulo	Chingalinga
Amos Lee	Vaporize
Ariana Grande	God is a woman
Ariana Grande	no tears left to cry
Ariana Grande f./The Weeknd	Love Me Harder
Ariana Grande feat. Mac Miller	The Way
Austin Mahone ft. Pitbull	Mmm Yeah
Ava Max 	Sweet but Psycho
Avril Lavigne	What The Hell
B.o.B	So Good
Bebe Rexha	I Can't Stop Drinking About You
Becky G	Break a Sweat
Betty Who	All Of You
Beyonce	XO
Beyonce	Best Thing I Never Had
Beyonce ft. J.Cole	Party
Big Time Rush ft. Snoop Dogg	Boyfriend
Blackstreet ft. Dr.Dre	No Diggity
Blake Shelton	Gonna
Bleachers	I Wanna Get Better
Blonde & Craig David	Nothing Like This
Blush ft. Snoop Dogg	Undivided
Bob Sinclair ft. Snoop Dogg	Wild Thing
Brantley Gilbert	Bottoms Up
Brett Eldredge	Drunk on your Love
Brett Young	Here Tonight
Britney Spears	Hold It Against Me
Britney Spears	I Wanna Go
Bruno Mars	Young Girls
Bruno Mars	The Lazy Song
Calvin Harris & Disciples	How Deep is Your Love
Camila Cabello	Living Proof
Carrie Underwood     	Blown Away
Chainsmokers ft Halsey	Closer
Charli XCX f./Lil Yachty	After The Afterparty
Charlie Puth ft. Meghan Trainor	Marvin Gaye
Cher Lloyd	Want U Back
Childish Gambino	This Is America
Chris Brown	She Ain't You
Chris Brown	Yeah 3x
Chris Cagle	Let there be Cowgirls
Cledus T.Judd	Honeymoon
Cledus T.Judd	Double D Cups
Cledus T.Judd	Tiger by the Tail
Cole Swindell	Chillin' It
Craig David ft. Big Narstie	When the bassline drops
Daft Punk feat. Pharrell Williams	Get Lucky
David Guetta ft Rihanna	Who's That Chick
David Nail	Whatever she's Got
Dawin	Dessert
Daya	Hide Away
Demi Lovato	Body Say
Demi Lovato	Neon Lights
Demi Lovato 	Cool for the Summer
Dev	In The Dark
Diddy - Dirty Money feat. Skylar Grey	Coming Home
Dierks Bentley	Drunk On a Plane
Dierks Bentley	Tip it on Back
Dlow	Bet You Can't Do It Like Me
DNCE	Toothbrush
Drake	Hotline Bling
Dua Lipa	New Rules
Dustin Lynch	Good Girl
Eli Young Band	Drunk Last Night
Elle King	America's Sweetheart
Emii	Fiesta (We Own The Night)
Enrique Iglesias	Bailando
Eric Church	Cold One
Eric Church	Drink in my Hand
Eric Church	Smoke a little smoke
Fifth Harmony feat. Ty Dolla $ign	Work From Home
Five Finger Death Punch	Wrong Side of Heaven
Flo Rida	How I Feel
Flo Rida	I Cry
Flo Rida	Whistle
Flo Rida f./Robin Thicke & Verdine White	I Don't Like It, I Love It
Flo Rida ft Jason Derulo	Hello Friday
Florida Georgia Line	Sun Daze
Florida Georgia Line	Stay
